Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2011;MASTER LMD;0921204J;Paris Nanterre;A25;Versailles;DEG;Droit, économie et gestion;disc05;Autres formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;40;29;91;84;82;93;2250;35100;19.00;8.6;1990;71;11;51;0;0;Paris Nanterre_30
2011;MASTER LMD;0921204J;Paris Nanterre;A25;Versailles;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;47;13;86;76;74;95;1840;28700;19.00;8.6;1990;42;17;72;0;0;Paris Nanterre_30
2011;MASTER LMD;0921204J;Paris Nanterre;A25;Versailles;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;63;12;95;93;58;77;1800;28100;19.00;8.6;1990;74;23;88;0;0;Paris Nanterre_30
2011;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;DEG;Droit, économie et gestion;disc01;E0emble formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;50;36;91;94;84;98;2230;34800;27.00;8.6;1990;83;5;51;0;0;Paris 13 - Paris Nord_30
2011;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;36;4;0;0;0;0;0;0;27.00;8.6;1990;0;0;0;0;0;Paris 13 - Paris Nord_30
2011;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;67;45;92;94;65;87;1930;30100;27.00;8.6;1990;68;20;86;0;0;Paris 13 - Paris Nord_30
2011;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;82;3;0;0;0;0;0;0;27.00;8.6;1990;0;0;0;0;0;Paris 13 - Paris Nord_30
2011;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;71;12;90;94;53;58;0;0;27.00;8.6;1990;86;40;78;0;0;Paris 13 - Paris Nord_30
2011;MASTER LMD;0931238R;Paris 13 - Paris Nord;A24;Créteil;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;72;5;0;0;0;0;0;0;27.00;8.6;1990;0;0;0;0;0;Paris 13 - Paris Nord_30
2011;MASTER LMD;0931827F;Paris 8 - Vincennes Saint-Denis;A24;Créteil;DEG;Droit, économie et gestion;disc05;Autres formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;86;2;0;0;0;0;0;0;30.00;8.6;1990;0;0;0;0;0;Paris 8 - Vincennes Saint-Denis_30
2011;MASTER LMD;0931827F;Paris 8 - Vincennes Saint-Denis;A24;Créteil;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;80;4;0;0;0;0;0;0;30.00;8.6;1990;0;0;0;0;0;Paris 8 - Vincennes Saint-Denis_30
2011;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;DEG;Droit, économie et gestion;disc05;Autres formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;61;17;82;75;74;94;1900;29600;22.00;8.6;1990;51;19;73;0;0;Paris-Est Créteil_30
